accuracy,loss,val_accuracy,val_loss,epoch
0.9248006343841553,0.2616174817085266,0.9525102972984314,0.1532946079969406,1
0.9491012692451477,0.1657610982656479,0.6403632164001465,1.3936176300048828,2
0.9549200534820557,0.1449763923883438,0.9633948802947998,0.11527734249830246,3
0.9584699869155884,0.13292813301086426,0.9660313129425049,0.10805629193782806,4
0.9607042074203491,0.12454552203416824,0.9668490886688232,0.1044667512178421,5
0.96250319480896,0.11848380416631699,0.967837929725647,0.10067405551671982,6
0.9638832807540894,0.11359868198633194,0.9689061641693115,0.09864035993814468,7
0.9651690721511841,0.10949188470840454,0.9691317677497864,0.0962134450674057,8
0.9659497737884521,0.1065082997083664,0.9693378806114197,0.09540891647338867,9
0.9666634798049927,0.1035119816660881,0.9700822234153748,0.09357816725969315,10
0.9673520922660828,0.1009879857301712,0.9711030125617981,0.0914858803153038,11
0.9679862856864929,0.09903465211391449,0.9712235331535339,0.09074210375547409,12
0.9685855507850647,0.09665140509605408,0.9713482856750488,0.09087790548801422,13
0.9691063165664673,0.09508949518203735,0.9716431498527527,0.08966853469610214,14
0.9696922898292542,0.09337164461612701,0.9717655181884766,0.08862388879060745,15
0.970025360584259,0.09209458529949188,0.9720754623413086,0.08900314569473267,16
0.9704551100730896,0.0903857871890068,0.9721757769584656,0.08862414211034775,17
0.9707590937614441,0.0892726257443428,0.9724435806274414,0.08733218163251877,18
0.9710320830345154,0.0883980393409729,0.9728094339370728,0.08771714568138123,19
0.9714080691337585,0.08703014254570007,0.973158061504364,0.08643283694982529,20
0.971770167350769,0.08594608306884766,0.972986102104187,0.08604039996862411,21
0.9720897674560547,0.08485729247331619,0.9730964303016663,0.08532954007387161,22
0.9722703695297241,0.08413558453321457,0.9728120565414429,0.08631415665149689,23
0.9724669456481934,0.08343525230884552,0.9735061526298523,0.08491569757461548,24
0.9727815985679626,0.08244243264198303,0.9733123779296875,0.0856107845902443,25

split data + add digit data in dataset + g mail + stress
