accuracy,loss,val_accuracy,val_loss,epoch
0.9294531345367432,0.22953395545482635,0.9463675022125244,0.2637772262096405,1
0.9539321064949036,0.14090707898139954,0.9539735913276672,0.14783848822116852,2
0.959510087966919,0.12231066077947617,0.9575591087341309,0.14145703613758087,3
0.9630287885665894,0.11123810708522797,0.9571733474731445,0.13679064810276031,4
0.9653422832489014,0.10354360938072205,0.959510087966919,0.13124194741249084,5
0.9671236276626587,0.09818373620510101,0.9610466957092285,0.12492455542087555,6
0.9684070348739624,0.09391096234321594,0.9608582854270935,0.12620696425437927,7
0.9695253372192383,0.0898967981338501,0.9595990180969238,0.1323036253452301,8
0.9704302549362183,0.0871494933962822,0.9601292014122009,0.13020482659339905,9
0.9711809158325195,0.08453501760959625,0.9609706997871399,0.1298409253358841,10
